hour,minute,volatility,success,next_return,target,multiplier
0,0,47351.072,0.4969,-0.0,2612,0.5
0,1,46227.7607,0.3995,0.0,2608,0.5
0,2,45558.2375,0.413,-0.0,2610,0.5
0,3,43393.5558,0.4024,-0.0,2607,0.5
0,4,42087.1067,0.4045,-0.0,2606,0.5
0,5,44506.7076,0.4216,0.0,2609,0.5
0,6,44002.298,0.432,-0.0001,2611,0.5
0,7,42164.6879,0.4014,-0.0,2611,0.5
0,8,41286.8098,0.4061,-0.0,2608,0.5
0,9,39785.8787,0.4006,0.0,2606,0.5
0,10,42078.1609,0.4379,0.0,2610,0.5
0,11,41167.6256,0.4154,0.0001,2607,0.5
0,12,40969.3487,0.4253,-0.0,2610,0.5
0,13,40822.2903,0.4006,-0.0,2611,0.5
0,14,38295.0883,0.4029,0.0,2606,0.5
0,15,43548.04,0.4362,0.0,2602,0.5
0,16,43200.4599,0.4247,0.0,2609,0.5
0,17,41903.3372,0.4001,-0.0,2607,0.5
0,18,40946.2366,0.3852,-0.0,2604,0.5
0,19,39238.8804,0.4049,0.0,2608,0.5
0,20,40539.64,0.4167,0.0,2611,0.5
0,21,39667.8201,0.4106,-0.0,2601,0.5
0,22,39952.0522,0.4058,0.0,2607,0.5
0,23,39714.505,0.4171,0.0,2606,0.5
0,24,38255.0825,0.4058,-0.0,2607,0.5
0,25,39368.6229,0.412,-0.0,2607,0.5
0,26,39058.6656,0.4084,0.0,2608,0.5
0,27,38530.6748,0.4038,0.0,2608,0.5
0,28,37298.4615,0.4073,-0.0,2600,0.5
0,29,37403.6098,0.4167,0.0,2604,0.5
0,30,42278.3742,0.436,-0.0,2608,0.5
0,31,42411.2006,0.4158,-0.0,2607,0.5
0,32,41398.0061,0.4149,0.0,2608,0.5
0,33,40359.417,0.4193,0.0,2607,0.5
0,34,40081.1639,0.4257,0.0,2612,0.5
0,35,42430.8756,0.4194,0.0,2604,0.5
0,36,41194.9348,0.4148,-0.0,2606,0.5
0,37,39788.1811,0.4071,-0.0,2606,0.5
0,38,38800.9969,0.3938,-0.0,2608,0.5
0,39,38895.6655,0.402,0.0,2607,0.5
0,40,39760.5364,0.4307,0.0,2610,0.5
0,41,38453.2209,0.3999,-0.0,2608,0.5
0,42,39175.1152,0.4151,-0.0,2604,0.5
0,43,37463.5736,0.4068,0.0,2608,0.5
0,44,35993.4841,0.3921,0.0001,2609,0.5
0,45,41112.9835,0.4336,-0.0,2611,0.5
0,46,40865.1341,0.4088,-0.0,2610,0.5
0,47,40035.6869,0.4156,-0.0,2606,0.5
0,48,38386.7382,0.4025,0.0,2609,0.5
0,49,36576.6871,0.4064,0.0,2608,0.5
0,50,38031.8496,0.4163,-0.0,2606,0.5
0,51,38261.2026,0.3987,0.0,2611,0.5
0,52,38281.5013,0.4075,-0.0,2611,0.5
0,53,37302.798,0.4082,0.0,2609,0.5
0,54,36929.6965,0.4041,0.0,2603,0.5
0,55,37725.3926,0.4236,-0.0,2611,0.5
0,56,36608.5123,0.4133,0.0001,2608,0.5
0,57,36259.2734,0.4176,0.0,2615,0.5
0,58,35861.0792,0.4286,0.0,2613,0.5
0,59,35952.8736,0.4126,0.0001,2610,0.5
1,0,46035.5913,0.496,0.0,2613,0.5
1,1,46015.7148,0.4166,0.0,2609,0.5
1,2,47580.6452,0.4286,0.0,2604,0.5
1,3,47244.2485,0.4007,0.0,2608,0.5
1,4,44450.9202,0.3926,-0.0,2608,0.5
1,5,47410.7486,0.4134,0.0,2605,0.5
1,6,44598.4674,0.4027,-0.0,2610,0.5
1,7,43049.8849,0.3914,-0.0,2606,0.5
1,8,40392.1043,0.3898,-0.0,2609,0.5
1,9,41107.1429,0.4025,-0.0,2604,0.5
1,10,41774.7506,0.4233,0.0,2606,0.5
1,11,41559.7388,0.4176,-0.0,2603,0.5
1,12,41384.6449,0.4104,0.0,2605,0.5
1,13,39953.5152,0.4084,0.0,2603,0.5
1,14,38567.3704,0.4077,0.0,2605,0.5
1,15,41890.8046,0.4364,-0.0001,2610,0.5
1,16,42439.632,0.3936,-0.0,2609,0.5
1,17,41035.3167,0.3916,0.0,2605,0.5
1,18,40993.0902,0.4415,-0.0,2605,0.5
1,19,39588.0998,0.4031,0.0,2605,0.5
1,20,41578.3225,0.4102,-0.0,2611,0.5
1,21,40039.9693,0.407,-0.0,2602,0.5
1,22,39559.4781,0.4091,0.0,2606,0.5
1,23,39173.5791,0.4178,0.0,2604,0.5
1,24,37611.2817,0.4064,0.0,2606,0.5
1,25,39647.6008,0.4226,-0.0,2605,0.5
1,26,38412.8933,0.4091,-0.0,2606,0.5
1,27,36970.8477,0.4131,0.0,2607,0.5
1,28,36897.1604,0.4125,-0.0,2606,0.5
1,29,36732.8215,0.4219,0.0,2605,0.5
1,30,41309.9348,0.4503,-0.0,2607,0.5
1,31,40656.5618,0.4148,-0.0001,2606,0.5
1,32,39509.4122,0.3899,0.0,2603,0.5
1,33,39021.8894,0.4101,-0.0,2604,0.5
1,34,38427.6947,0.4077,-0.0,2607,0.5
1,35,41070.6063,0.4321,-0.0,2606,0.5
1,36,39832.2432,0.404,-0.0001,2599,0.5
1,37,38615.4734,0.4015,-0.0,2598,0.5
1,38,38785.3303,0.4136,0.0,2604,0.5
1,39,37001.5302,0.4047,0.0,2614,0.5
1,40,38098.6186,0.4179,-0.0,2606,0.5
1,41,38357.6923,0.4038,-0.0,2600,0.5
1,42,36628.3186,0.4055,-0.0,2599,0.5
1,43,36544.6154,0.4,0.0,2600,0.5
1,44,35479.831,0.4195,0.0001,2603,0.5
1,45,38860.7595,0.4553,-0.0,2607,0.5
1,46,39942.4405,0.4048,0.0,2606,0.5
1,47,38938.8226,0.4078,-0.0,2599,0.5
1,48,37574.1737,0.382,-0.0,2602,0.5
1,49,36010.3607,0.3772,0.0,2606,0.5
1,50,37641.8997,0.4152,0.0,2611,0.5
1,51,37241.0885,0.4082,-0.0,2609,0.5
1,52,36306.4206,0.4091,-0.0,2601,0.5
1,53,35621.58,0.4239,0.0,2595,0.5
1,54,34845.092,0.4011,0.0,2608,0.5
1,55,36069.4818,0.4015,0.0,2605,0.5
1,56,35357.7487,0.4117,0.0,2594,0.5
1,57,34111.9661,0.3913,-0.0,2599,0.5
1,58,33869.4648,0.4209,0.0,2597,0.5
